Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Islington 014A,126,,117,,145,,150,
Islington 014B,12,,25,,16,,19,
Islington 014C,20,,19,,41,,35,
Islington 014D,17,,18,,21,,19,
Islington 014E,78,,87,,96,,94,
Islington 014F,34,,29,,41,,49,
Islington 015A,66,,86,,83,,96,
Islington 015B,18,,24,,34,,43,
Islington 015C,81,,88,,93,,120,
Islington 015D,124,,148,,137,,121,
Islington 015E,102,,109,,142,,132,
Islington 016A,24,,24,,47,,54,
Islington 016B,28,,32,,32,,33,
Islington 016C,175,,160,,171,,166,
Islington 016D,43,,67,,67,,77,
Islington 016E,21,,20,,27,,23,
Islington 016F,77,,72,,89,,97,
Islington 017A,32,,37,,53,,42,
Islington 017B,31,,21,,29,,30,
Islington 017C,8,,6,,9,,9,
Islington 017D,10,,16,,18,,23,
Islington 017E,30,,48,,45,,57,
Islington 018A,55,,45,,60,,58,
Islington 018B,56,,76,,71,,67,
Islington 018C,67,,57,,78,,60,
Islington 018D,95,,94,,91,,94,
Islington 018E,52,,65,,70,,80,
Islington 019A,118,,121,,114,,120,
Islington 019B,63,,86,,88,,104,
Islington 019C,89,,80,,103,,89,
Islington 019D,56,,68,,81,,68,
Islington 019E,137,,148,,185,,165,
Islington 020A,32,,26,,31,,26,
Islington 020B,19,,22,,20,,22,
Islington 020C,14,,27,,23,,16,
Islington 020D,59,,52,,57,,38,
Islington 020E,82,,84,,103,,109,
Islington 021A,37,,69,,66,,49,
Islington 021B,77,,69,,70,,60,
Islington 021C,35,,31,,35,,31,
Islington 021D,43,,51,,45,,52,
Islington 021E,34,,25,,37,,31,
Islington 022B,39,,43,,53,,70,
Islington 022C,62,,68,,79,,94,
Islington 022D,25,,18,,26,,33,
Islington 022E,77,,86,,110,,109,
Islington 022F,52,,36,,57,,65,
Islington 022G,16,,12,,22,,11,
Islington 022H,43,,32,,51,,56,
Islington 023A,73,,64,,62,,73,
Islington 023B,112,,121,,146,,125,
Islington 023C,83,,81,,106,,109,
Islington 023D,71,,72,,80,,95,
Islington 023E,54,,75,,95,,90,
Kensington and Chelsea 001A,88,,99,,139,,121,
Kensington and Chelsea 001B,64,,50,,63,,50,
Kensington and Chelsea 001C,59,,52,,63,,71,
Kensington and Chelsea 001D,82,,91,,91,,90,
Kensington and Chelsea 001E,59,,76,,73,,55,
Kensington and Chelsea 002A,77,,68,,75,,77,
Kensington and Chelsea 002B,57,,54,,73,,64,
Kensington and Chelsea 002C,51,,43,,59,,56,
Kensington and Chelsea 002D,52,,79,,90,,88,
Kensington and Chelsea 003A,17,,26,,30,,31,
Kensington and Chelsea 003B,69,,62,,88,,104,
Kensington and Chelsea 003C,33,,27,,39,,45,
Kensington and Chelsea 003D,34,,35,,46,,48,
Kensington and Chelsea 003E,40,,34,,42,,51,
Kensington and Chelsea 004A,36,,36,,27,,36,
Kensington and Chelsea 004B,46,,43,,34,,54,
Kensington and Chelsea 004C,38,,45,,48,,57,
Kensington and Chelsea 004D,44,,51,,53,,53,
Kensington and Chelsea 004E,28,,38,,34,,44,
Kensington and Chelsea 005A,39,,50,,54,,70,
Kensington and Chelsea 005B,30,,33,,37,,44,
Kensington and Chelsea 005C,85,,71,,91,,79,
Kensington and Chelsea 005D,76,,64,,80,,82,
Kensington and Chelsea 005E,61,,58,,65,,59,
Kensington and Chelsea 006A,15,,5,,11,,11,
Kensington and Chelsea 006B,6,,5,,9,,10,
Kensington and Chelsea 006C,10,,14,,14,,14,
Kensington and Chelsea 006D,13,,8,,8,,14,
Kensington and Chelsea 006E,6,,9,,7,,11,
Kensington and Chelsea 007A,6,,5,,8,,18,
Kensington and Chelsea 007B,5,,11,,8,,5,
Kensington and Chelsea 007C,11,,5,,13,,20,
Kensington and Chelsea 007D,12,,..,,12,,14,
Kensington and Chelsea 007E,..,,..,,5,,9,
Kensington and Chelsea 008A,5,,9,,6,,7,
Kensington and Chelsea 008B,6,,15,,19,,17,
Kensington and Chelsea 008C,10,,5,,8,,9,
Kensington and Chelsea 008D,6,,..,,..,,6,
Kensington and Chelsea 008E,..,,..,,7,,6,
Kensington and Chelsea 009A,7,,7,,9,,5,
Kensington and Chelsea 009B,19,,19,,18,,25,
Kensington and Chelsea 009C,31,,61,,82,,57,
Kensington and Chelsea 009D,6,,5,,5,,11,
Kensington and Chelsea 009E,10,,7,,7,,16,
Kensington and Chelsea 010A,5,,173,,166,,90,
Kensington and Chelsea 010B,7,,88,,46,,45,
Kensington and Chelsea 010C,..,,..,,..,,..,
Kensington and Chelsea 010D,9,,12,,6,,5,
Kensington and Chelsea 010E,18,,10,,9,,7,
Kensington and Chelsea 011A,..,,..,,5,,5,
Kensington and Chelsea 011B,12,,8,,9,,5,
Kensington and Chelsea 011C,..,,..,,7,,..,
Kensington and Chelsea 011D,8,,10,,7,,5,
Kensington and Chelsea 011E,10,,6,,6,,..,
Kensington and Chelsea 012A,12,,8,,5,,14,
Kensington and Chelsea 012B,5,,..,,5,,8,
Kensington and Chelsea 012C,5,,..,,..,,..,
Kensington and Chelsea 012D,..,,..,,..,,..,
Kensington and Chelsea 012E,..,,..,,7,,..,
Kensington and Chelsea 013A,8,,12,,14,,7,
Kensington and Chelsea 013B,7,,6,,8,,13,
Kensington and Chelsea 013C,12,,24,,26,,23,
Kensington and Chelsea 013D,7,,14,,9,,9,
Kensington and Chelsea 013E,..,,8,,10,,8,
Kensington and Chelsea 014A,8,,..,,..,,5,
Kensington and Chelsea 014B,38,,29,,18,,27,
Kensington and Chelsea 014C,49,,45,,45,,39,
Kensington and Chelsea 014D,14,,14,,9,,9,
Kensington and Chelsea 014E,7,,16,,18,,19,
Kensington and Chelsea 015A,61,,58,,63,,71,
Kensington and Chelsea 015B,13,,18,,15,,19,
Kensington and Chelsea 015C,11,,11,,16,,8,
Kensington and Chelsea 015D,20,,25,,26,,27,
Kensington and Chelsea 016A,..,,..,,..,,6,
Kensington and Chelsea 016B,..,,..,,..,,..,
Kensington and Chelsea 016C,9,,9,,6,,6,
Kensington and Chelsea 016D,7,,7,,..,,..,
Kensington and Chelsea 016E,..,,..,,..,,5,
Kensington and Chelsea 017A,8,,8,,16,,12,
Kensington and Chelsea 017B,9,,..,,9,,6,
Kensington and Chelsea 017C,19,,13,,16,,19,
Kensington and Chelsea 017D,..,,..,,11,,12,
Kensington and Chelsea 017E,..,,..,,..,,6,
Kensington and Chelsea 018A,39,,33,,29,,38,
Kensington and Chelsea 018B,5,,..,,5,,6,
Kensington and Chelsea 018C,..,,5,,5,,5,
Kensington and Chelsea 018D,..,,8,,16,,11,
Kensington and Chelsea 018E,5,,9,,7,,..,
Kensington and Chelsea 019A,11,,6,,9,,7,
Kensington and Chelsea 019B,25,,15,,13,,9,
Kensington and Chelsea 019C,9,,13,,11,,10,
Kensington and Chelsea 019D,11,,10,,9,,6,
Kensington and Chelsea 019E,12,,16,,16,,16,
Kensington and Chelsea 020A,6,,6,,6,,..,
Kensington and Chelsea 020B,..,,7,,7,,7,
Kensington and Chelsea 020C,7,,7,,12,,12,
Kensington and Chelsea 020D,20,,21,,18,,28,
Kensington and Chelsea 020E,5,,6,,6,,14,
Kensington and Chelsea 021A,39,,42,,55,,55,
Kensington and Chelsea 021B,24,,24,,17,,23,
Kensington and Chelsea 021C,46,,66,,83,,65,
Kensington and Chelsea 021D,29,,32,,35,,41,
Kensington and Chelsea 021E,25,,14,,15,,23,
Lambeth 002A,91,,101,,105,,82,
Lambeth 002B,84,,78,,94,,88,
Lambeth 002C,50,,52,,47,,42,
Lambeth 002D,88,,98,,103,,94,
Lambeth 002E,100,,91,,90,,74,
Lambeth 003A,56,,63,,78,,57,
Lambeth 003B,70,,89,,71,,77,
Lambeth 003C,133,,104,,117,,125,
Lambeth 003D,25,,21,,24,,30,
Lambeth 003E,115,,115,,106,,104,
Lambeth 004A,28,,28,,32,,28,
Lambeth 004C,44,,53,,53,,46,
Lambeth 004D,73,,69,,76,,78,
Lambeth 004E,46,,49,,62,,69,
Lambeth 004F,62,,57,,48,,64,
Lambeth 004G,19,,24,,38,,30,
Lambeth 005A,49,,36,,36,,42,
Lambeth 005B,85,,87,,93,,92,
Lambeth 005C,23,,25,,30,,31,
Lambeth 005D,64,,71,,72,,84,
Lambeth 005E,83,,69,,92,,84,
Lambeth 006A,72,,76,,70,,53,
Lambeth 006B,90,,74,,84,,101,
Lambeth 006C,30,,32,,38,,29,
Lambeth 006D,68,,74,,73,,53,
Lambeth 006E,129,,141,,154,,146,
Lambeth 007A,42,,35,,61,,64,
Lambeth 007B,82,,94,,97,,82,
Lambeth 007C,65,,47,,60,,65,
Lambeth 007D,57,,60,,61,,65,
Lambeth 007E,97,,92,,115,,114,
Lambeth 008A,110,,90,,150,,125,
Lambeth 008B,102,,113,,96,,115,
Lambeth 008C,112,,104,,106,,116,
Lambeth 008D,96,,62,,55,,74,
Lambeth 008E,95,,84,,102,,110,
Lambeth 009A,112,,141,,125,,133,
Lambeth 009B,153,,183,,182,,168,
Lambeth 009C,101,,114,,135,,126,
Lambeth 009D,89,,86,,96,,99,
Lambeth 009E,60,,55,,59,,61,
Lambeth 010A,106,,86,,110,,117,
Lambeth 010B,120,,138,,154,,176,
Lambeth 010C,26,,36,,39,,25,
Lambeth 010D,24,,28,,38,,32,
Lambeth 010E,69,,57,,71,,70,
Lambeth 011A,111,,93,,150,,125,
Lambeth 011B,102,,104,,93,,75,
Lambeth 011C,77,,86,,102,,79,
Lambeth 011D,67,,74,,66,,84,
Lambeth 011E,79,,110,,123,,125,
Lambeth 011F,33,,38,,31,,26,
Lambeth 012A,59,,60,,69,,68,
Lambeth 012B,25,,26,,26,,47,
Lambeth 012C,19,,26,,40,,46,
Lambeth 012D,37,,56,,66,,61,
Lambeth 012E,24,,30,,41,,38,
Lambeth 013A,70,,66,,83,,60,
Lambeth 013B,10,,..,,..,,5,
Lambeth 013C,24,,19,,21,,10,
Lambeth 013D,18,,18,,18,,18,
Lambeth 013E,14,,25,,18,,18,
Lambeth 014A,29,,26,,32,,25,
Lambeth 014B,58,,51,,47,,64,
Lambeth 014C,61,,70,,71,,73,
Lambeth 014D,50,,42,,46,,46,
Lambeth 014E,18,,22,,22,,29,
Lambeth 015A,28,,40,,43,,32,
Lambeth 015B,15,,18,,21,,19,
Lambeth 015C,36,,41,,34,,27,
Lambeth 015D,29,,29,,26,,28,
Lambeth 015E,49,,56,,53,,46,
Lambeth 016A,71,,75,,85,,74,
Lambeth 016B,39,,41,,42,,50,
Lambeth 016C,117,,128,,125,,121,
Lambeth 016D,43,,42,,35,,41,
Lambeth 016E,134,,113,,118,,138,
Lambeth 017A,31,,40,,54,,56,
Lambeth 017B,80,,96,,90,,100,
Lambeth 017C,52,,61,,75,,77,
Lambeth 017D,96,,108,,97,,108,
Lambeth 018A,40,,29,,44,,43,
Lambeth 018B,56,,46,,64,,64,
Lambeth 018C,91,,63,,64,,76,
Lambeth 018D,38,,27,,41,,41,
Lambeth 018E,41,,39,,41,,61,
Lambeth 019A,8,,8,,19,,23,
Lambeth 019B,8,,5,,..,,..,
Lambeth 019C,19,,30,,31,,25,
Lambeth 019D,15,,23,,22,,30,
Lambeth 019E,18,,27,,25,,31,
Lambeth 020A,26,,45,,54,,52,
Lambeth 020B,38,,38,,47,,35,
Lambeth 020C,16,,29,,21,,27,
Lambeth 020D,68,,61,,78,,71,
Lambeth 020E,27,,16,,25,,36,
Lambeth 021A,45,,51,,84,,83,
Lambeth 021B,28,,14,,20,,34,
Lambeth 021C,77,,78,,102,,95,
Lambeth 021D,102,,107,,94,,112,
Lambeth 021E,56,,53,,82,,74,
Lambeth 022A,46,,35,,40,,43,
Lambeth 022B,80,,68,,91,,91,
Lambeth 022C,54,,47,,48,,58,
Lambeth 022D,76,,61,,73,,73,
Lambeth 022E,114,,102,,125,,129,
Lambeth 023A,68,,66,,73,,58,
Lambeth 023B,42,,33,,30,,36,
Lambeth 023C,34,,38,,33,,34,
Lambeth 023D,23,,25,,24,,15,
Lambeth 023E,40,,38,,27,,21,
Lambeth 023F,33,,17,,30,,32,
Lambeth 024A,67,,69,,83,,86,
Lambeth 024B,103,,117,,125,,125,
Lambeth 024C,111,,151,,148,,141,
Lambeth 024D,101,,110,,108,,108,
Lambeth 024E,148,,119,,139,,136,
Lambeth 025A,86,,64,,82,,102,
Lambeth 025B,51,,58,,56,,53,
Lambeth 025C,93,,94,,75,,94,
Lambeth 025D,73,,57,,60,,60,
Lambeth 025E,29,,22,,28,,35,
Lambeth 026A,40,,53,,58,,50,
Lambeth 026B,42,,44,,50,,30,
Lambeth 026C,79,,69,,53,,66,
Lambeth 026D,13,,16,,14,,16,
Lambeth 026E,156,,144,,161,,151,
Lambeth 027A,70,,78,,85,,76,
Lambeth 027B,46,,49,,58,,58,
Lambeth 027C,52,,42,,49,,47,
Lambeth 027D,49,,60,,68,,54,
Lambeth 027E,48,,49,,39,,38,
Lambeth 028A,33,,22,,39,,33,
Lambeth 028B,87,,85,,131,,129,
Lambeth 028C,59,,48,,77,,100,
Lambeth 028D,65,,62,,68,,90,
Lambeth 028E,28,,18,,29,,33,
Lambeth 029A,44,,45,,33,,27,
Lambeth 029B,41,,28,,33,,33,
Lambeth 029C,64,,52,,74,,76,
Lambeth 029D,13,,8,,23,,66,
Lambeth 029E,29,,25,,29,,35,
Lambeth 030A,44,,49,,34,,28,
Lambeth 030B,41,,25,,44,,37,
Lambeth 030C,39,,45,,42,,50,
Lambeth 030D,23,,19,,29,,47,
Lambeth 030E,80,,80,,89,,77,
Lambeth 031A,100,,95,,120,,117,
Lambeth 031B,72,,78,,92,,80,
Lambeth 031C,67,,65,,82,,91,
Lambeth 031D,111,,97,,100,,90,
Lambeth 031E,111,,111,,126,,113,
Lambeth 032A,74,,65,,62,,79,
Lambeth 032B,49,,60,,46,,59,
Lambeth 032C,68,,69,,87,,84,
Lambeth 032D,56,,55,,69,,77,
Lambeth 032E,44,,61,,47,,48,
Lambeth 032F,96,,116,,101,,127,
Lambeth 033A,38,,51,,54,,51,
Lambeth 033B,90,,85,,101,,116,
Lambeth 033C,21,,38,,39,,49,
Lambeth 033D,55,,53,,61,,69,
Lambeth 033E,96,,95,,111,,101,
Lambeth 034A,43,,47,,61,,62,
Lambeth 034B,62,,64,,81,,78,
Lambeth 034C,22,,26,,18,,21,
Lambeth 034D,47,,41,,48,,43,
Lambeth 034E,61,,61,,57,,62,
Lambeth 035A,36,,35,,42,,55,
Lambeth 035B,54,,66,,48,,82,
Lambeth 035C,53,,48,,56,,52,
Lambeth 035D,49,,58,,63,,65,
Lambeth 035E,47,,63,,64,,64,
Lambeth 036A,18,,14,,21,,32,
Lambeth 036B,37,,61,,49,,43,
Lambeth 036C,17,,14,,21,,21,
Lambeth 036D,37,,46,,51,,50,
Lambeth 036E,116,,91,,70,,101,
Lewisham 001A,164,,192,,196,,189,
Lewisham 001B,130,,125,,127,,135,
Lewisham 001C,49,,43,,33,,46,
Lewisham 001D,95,,76,,85,,85,
Lewisham 001E,113,,113,,129,,134,
Lewisham 002A,110,,111,,114,,123,
Lewisham 002B,90,,76,,98,,87,
Lewisham 002C,136,,135,,154,,162,
Lewisham 002D,135,,151,,147,,165,
Lewisham 002E,66,,66,,76,,82,
Lewisham 003A,39,,46,,39,,66,
Lewisham 003B,73,,80,,67,,57,
Lewisham 003C,72,,73,,73,,74,
Lewisham 003D,96,,97,,107,,105,
Lewisham 003E,139,,169,,161,,143,
Lewisham 005A,121,,90,,105,,102,
Lewisham 005B,66,,77,,103,,90,
Lewisham 005C,32,,38,,52,,46,
Lewisham 005D,45,,37,,37,,43,
Lewisham 005E,47,,51,,49,,63,
Lewisham 006A,118,,105,,139,,129,
Lewisham 006B,81,,86,,76,,63,
Lewisham 006C,29,,31,,24,,27,
Lewisham 006D,14,,17,,21,,18,
Lewisham 006E,50,,47,,54,,46,
Lewisham 007A,33,,43,,40,,41,
Lewisham 007B,63,,41,,59,,50,
Lewisham 007C,72,,47,,60,,60,
Lewisham 007D,41,,65,,53,,48,
Lewisham 007E,30,,35,,27,,33,
Lewisham 008B,44,,49,,31,,52,
Lewisham 008C,46,,41,,73,,70,
Lewisham 008D,76,,80,,94,,79,
Lewisham 008E,82,,84,,82,,105,
Lewisham 008F,16,,18,,6,,7,
Lewisham 009A,34,,32,,40,,37,
Lewisham 009B,10,,17,,32,,22,
Lewisham 009C,21,,20,,20,,28,
Lewisham 009D,77,,85,,105,,94,
Lewisham 010A,95,,93,,119,,138,
Lewisham 010B,102,,114,,115,,136,
Lewisham 010C,39,,29,,41,,50,
Lewisham 010D,57,,66,,62,,44,
Lewisham 010E,66,,74,,82,,69,
Lewisham 011A,48,,43,,56,,63,
Lewisham 011B,34,,29,,30,,26,
Lewisham 011C,87,,72,,72,,80,
Lewisham 011D,31,,34,,34,,54,
Lewisham 012A,103,,93,,93,,118,
Lewisham 012C,88,,63,,88,,72,
Lewisham 012D,99,,93,,85,,122,
Lewisham 012E,155,,162,,185,,192,
Lewisham 012F,34,,36,,48,,54,
Lewisham 012G,92,,82,,104,,99,
Lewisham 013A,46,,45,,40,,40,
Lewisham 013B,29,,24,,31,,53,
Lewisham 013C,62,,57,,68,,82,
Lewisham 013D,96,,83,,75,,87,
Lewisham 014A,46,,43,,50,,52,
Lewisham 014B,46,,42,,54,,77,
Lewisham 014C,69,,64,,77,,74,
Lewisham 014D,44,,43,,57,,61,
Lewisham 015A,21,,14,,18,,18,
Lewisham 015B,31,,36,,37,,33,
Lewisham 015C,32,,31,,37,,37,
Lewisham 015D,57,,38,,39,,50,
Lewisham 016A,67,,75,,85,,84,
Lewisham 016B,19,,11,,28,,12,
Lewisham 016C,36,,41,,62,,62,
Lewisham 016D,37,,39,,38,,37,
Lewisham 017A,35,,51,,48,,68,
Lewisham 017B,40,,40,,67,,64,
Lewisham 017D,67,,62,,79,,77,
Lewisham 017E,51,,38,,42,,39,
Lewisham 017F,30,,36,,34,,40,
Lewisham 018A,57,,65,,78,,76,
Lewisham 018B,75,,73,,86,,78,
Lewisham 018C,45,,52,,42,,48,
Lewisham 018D,79,,91,,80,,112,
Lewisham 019A,36,,42,,41,,34,
Lewisham 019B,34,,26,,34,,28,
Lewisham 019C,17,,13,,16,,15,
Lewisham 019D,76,,59,,72,,98,
Lewisham 019E,48,,65,,66,,74,
Lewisham 020A,70,,64,,91,,85,
Lewisham 020B,131,,132,,142,,167,
Lewisham 020C,49,,64,,71,,78,
Lewisham 020D,47,,63,,52,,45,
Lewisham 020E,24,,35,,27,,54,
Lewisham 021A,31,,35,,42,,49,
Lewisham 021B,44,,32,,56,,52,
Lewisham 021C,44,,42,,41,,45,
Lewisham 021D,30,,26,,20,,26,
Lewisham 021E,53,,48,,59,,81,
Lewisham 022A,44,,51,,71,,79,
Lewisham 022B,47,,42,,46,,66,
Lewisham 022C,42,,39,,47,,45,
Lewisham 022D,23,,19,,28,,39,
Lewisham 022E,56,,49,,65,,54,
Lewisham 023A,60,,61,,60,,82,
Lewisham 023B,66,,58,,84,,94,
Lewisham 023C,61,,63,,61,,73,
Lewisham 023D,43,,24,,35,,44,
Lewisham 023E,27,,26,,22,,47,
Lewisham 024A,39,,40,,46,,39,
Lewisham 024B,42,,30,,50,,58,
Lewisham 024C,35,,39,,38,,41,
Lewisham 024D,38,,37,,50,,69,
Lewisham 024E,37,,32,,42,,36,
Lewisham 025A,16,,35,,49,,46,
Lewisham 025B,51,,63,,69,,70,
Lewisham 025C,67,,74,,78,,72,
Lewisham 025D,48,,39,,34,,43,
Lewisham 026A,94,,82,,83,,74,
Lewisham 026B,99,,108,,103,,97,
Lewisham 026C,110,,120,,121,,155,
Lewisham 026D,54,,53,,61,,80,
Lewisham 027A,99,,116,,120,,115,
Lewisham 027B,60,,54,,85,,100,
Lewisham 027C,41,,28,,21,,33,
Lewisham 027D,36,,37,,50,,54,
Lewisham 027E,126,,113,,123,,128,
Lewisham 028A,103,,92,,113,,98,
Lewisham 028B,62,,61,,68,,61,
Lewisham 028C,111,,111,,89,,111,
Lewisham 028D,31,,48,,57,,64,
Lewisham 029A,50,,76,,86,,70,
Lewisham 029B,87,,96,,97,,101,
Lewisham 029C,46,,46,,49,,62,
Lewisham 029D,103,,116,,109,,132,
Lewisham 029E,97,,107,,116,,130,
Lewisham 030A,171,,180,,217,,199,
Lewisham 030B,96,,90,,108,,109,
Lewisham 030C,58,,51,,53,,65,
Lewisham 030D,122,,134,,133,,124,
Lewisham 030E,84,,73,,80,,64,
Lewisham 031A,51,,65,,60,,56,
Lewisham 031B,86,,91,,109,,133,
Lewisham 031C,88,,93,,84,,72,
Lewisham 031D,102,,95,,108,,121,
Lewisham 033A,48,,51,,61,,51,
Lewisham 033B,88,,87,,96,,96,
Lewisham 033C,73,,59,,66,,77,
Lewisham 033D,74,,54,,83,,67,
Lewisham 033E,56,,54,,86,,98,
Lewisham 034A,88,,108,,122,,134,
Lewisham 034B,137,,154,,179,,181,
Lewisham 034C,90,,73,,80,,117,
Lewisham 034D,121,,127,,138,,146,
Lewisham 035A,58,,67,,74,,66,
Lewisham 035B,42,,37,,45,,52,
Lewisham 035C,49,,52,,50,,68,
Lewisham 035D,60,,50,,48,,62,
Lewisham 035E,87,,98,,109,,118,
Lewisham 037A,126,,125,,122,,133,
Lewisham 037B,119,,110,,125,,110,
Lewisham 037C,105,,98,,100,,109,
Lewisham 037D,97,,73,,111,,94,
Lewisham 037E,99,,104,,119,,125,
Lewisham 038A,54,,60,,60,,48,
Lewisham 038B,109,,93,,121,,131,
Lewisham 038C,48,,54,,43,,58,
Lewisham 038D,76,,76,,84,,90,
Lewisham 038E,77,,83,,114,,103,
Lewisham 039A,80,,89,,97,,99,
Lewisham 039B,76,,71,,93,,72,
Lewisham 039C,66,,67,,83,,88,
Lewisham 039D,91,,122,,122,,122,
Lewisham 039E,105,,86,,113,,103,
Newham 001A,111,,101,,117,,129,
Newham 001B,92,,96,,82,,102,
Newham 001C,126,,131,,119,,118,
Newham 001D,104,,119,,123,,133,
Newham 002A,189,,189,,211,,244,
Newham 002B,106,,129,,161,,182,
Newham 002C,128,,117,,146,,169,
Newham 002D,134,,136,,156,,172,
Newham 003A,128,,142,,213,,259,
Newham 003B,110,,91,,106,,111,
Newham 003C,88,,109,,123,,154,
Newham 003D,160,,148,,146,,176,
Newham 004A,154,,163,,175,,236,
Newham 004B,102,,137,,132,,155,
Newham 004C,145,,154,,185,,200,
Newham 004D,191,,183,,209,,208,
Newham 005A,170,,169,,175,,201,
Newham 005B,143,,142,,161,,220,
Newham 005C,251,,242,,269,,292,
Newham 005D,195,,202,,220,,259,
Newham 006A,74,,79,,87,,101,
Newham 006B,104,,126,,122,,143,
Newham 006C,83,,102,,104,,135,
Newham 006D,106,,103,,125,,138,
Newham 007A,61,,55,,84,,93,
Newham 007B,94,,95,,109,,127,
Newham 007C,88,,101,,96,,146,
Newham 007D,147,,136,,167,,201,
Newham 008A,135,,147,,168,,217,
Newham 008B,112,,101,,130,,155,
Newham 008C,129,,135,,148,,214,
Newham 008D,155,,158,,155,,190,
Newham 008E,143,,136,,151,,181,
Newham 009A,88,,81,,101,,120,
Newham 009B,150,,153,,146,,172,
Newham 009C,61,,69,,82,,94,
Newham 009D,74,,81,,92,,109,
Newham 010A,88,,101,,142,,170,
Newham 010B,110,,116,,99,,122,
Newham 010C,122,,126,,148,,138,
Newham 010D,96,,99,,111,,141,
Newham 010E,186,,211,,208,,246,
Newham 011A,135,,120,,131,,141,
Newham 011B,135,,156,,160,,144,
Newham 011C,155,,148,,178,,197,
Newham 011D,107,,119,,117,,136,
Newham 011E,159,,147,,149,,177,
Newham 012A,87,,103,,95,,84,
Newham 012B,160,,172,,181,,201,
Newham 012C,77,,77,,84,,109,
Newham 012D,128,,138,,189,,178,
Newham 013C,87,,73,,97,,95,
Newham 013E,70,,69,,100,,92,
Newham 013F,33,,46,,33,,51,
Newham 013G,392,,396,,488,,504,
Newham 013H,100,,105,,153,,139,
Newham 014A,134,,109,,135,,130,
Newham 014B,142,,156,,132,,199,
Newham 014C,102,,107,,119,,162,
Newham 014D,143,,117,,164,,242,
Newham 015A,99,,116,,132,,171,
Newham 015B,76,,91,,109,,134,
Newham 015C,83,,70,,78,,120,
Newham 015D,107,,91,,126,,147,
Newham 015E,105,,103,,120,,143,
Newham 016A,104,,98,,130,,140,
Newham 016B,121,,146,,115,,134,
Newham 016C,107,,76,,80,,101,
Newham 016D,85,,90,,96,,95,
Newham 017A,115,,122,,154,,182,
Newham 017B,130,,121,,142,,196,
Newham 017C,142,,138,,164,,184,
Newham 017D,179,,158,,194,,231,
Newham 018A,114,,97,,105,,124,
Newham 018B,143,,147,,142,,168,
Newham 018C,139,,148,,146,,177,
Newham 018D,169,,145,,163,,191,
Newham 018E,103,,98,,122,,143,
Newham 019A,149,,141,,176,,182,
Newham 019B,227,,231,,226,,233,
Newham 019C,161,,134,,139,,164,
Newham 019D,123,,138,,141,,188,
Newham 020A,85,,92,,107,,91,
Newham 020B,95,,117,,102,,122,
Newham 020C,172,,192,,198,,209,
Newham 020D,121,,111,,110,,104,
Newham 020E,171,,168,,155,,172,
Newham 021A,157,,147,,175,,168,
Newham 021B,119,,126,,125,,133,
Newham 021C,177,,176,,182,,198,
Newham 021D,83,,73,,75,,96,
Newham 022A,125,,103,,120,,148,
Newham 022B,90,,122,,142,,158,
Newham 022C,153,,138,,160,,167,
Newham 022D,205,,182,,200,,212,
Newham 023A,162,,173,,210,,240,
Newham 023B,147,,133,,182,,191,
Newham 023C,127,,101,,122,,169,
Newham 023D,168,,163,,158,,182,
Newham 023E,164,,172,,157,,199,
Newham 024A,129,,101,,133,,152,
Newham 024B,126,,121,,126,,135,
Newham 024C,150,,165,,134,,176,
Newham 024D,195,,175,,205,,218,
Newham 024E,121,,156,,169,,202,
Newham 025A,141,,151,,130,,162,
Newham 025B,153,,148,,163,,231,
Newham 025C,118,,137,,162,,202,
Newham 025D,130,,119,,130,,171,
Newham 026A,99,,123,,137,,122,
Newham 026B,101,,105,,109,,132,
Newham 026C,146,,127,,133,,147,
Newham 026D,133,,121,,152,,162,
Newham 027A,96,,97,,114,,123,
Newham 027B,123,,116,,127,,134,
Newham 027C,149,,135,,126,,153,
Newham 027D,109,,121,,125,,111,
Newham 028A,148,,173,,204,,225,
Newham 028B,125,,119,,134,,171,
Newham 028C,162,,150,,160,,205,
Newham 028D,95,,94,,133,,125,
Newham 029A,154,,137,,146,,148,
Newham 029B,221,,184,,194,,250,
Newham 029C,155,,172,,159,,177,
Newham 029D,127,,174,,194,,172,
Newham 030A,182,,186,,226,,229,
Newham 030B,182,,183,,201,,205,
Newham 030C,158,,168,,188,,202,
Newham 030D,105,,155,,186,,178,
Newham 031A,145,,138,,150,,174,
Newham 031B,133,,140,,170,,181,
Newham 031C,76,,88,,114,,108,
Newham 031D,118,,132,,150,,168,
Newham 032A,102,,94,,107,,103,
Newham 032B,87,,78,,93,,106,
Newham 032C,170,,180,,212,,208,
Newham 032D,83,,75,,88,,112,
Newham 032E,121,,101,,100,,121,
Newham 033A,96,,71,,86,,90,
Newham 033B,138,,155,,162,,213,
Newham 033C,109,,114,,110,,107,
Newham 033D,115,,106,,122,,145,
Newham 034A,91,,85,,97,,87,
Newham 034D,79,,88,,126,,182,
Newham 034F,..,,..,,..,,..,
