Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Hackney 004B,122,,129,,139,,150,
Hackney 004C,94,,101,,155,,192,
Hackney 004D,125,,165,,196,,264,
Hackney 004E,138,,176,,206,,222,
Hackney 006A,88,,137,,139,,186,
Hackney 006B,79,,65,,77,,92,
Hackney 006C,128,,196,,203,,252,
Hackney 006D,63,,65,,67,,70,
Hackney 006E,60,,62,,46,,62,
Hackney 007A,13,,23,,31,,26,
Hackney 007B,75,,107,,116,,118,
Hackney 007C,40,,43,,56,,47,
Hackney 007D,23,,26,,21,,21,
Hackney 007E,64,,67,,72,,71,
Hackney 007F,14,,16,,28,,16,
Hackney 008A,62,,66,,58,,58,
Hackney 008B,113,,115,,126,,143,
Hackney 008C,59,,90,,122,,127,
Hackney 008D,69,,59,,52,,45,
Hackney 009A,20,,21,,22,,22,
Hackney 009B,40,,46,,40,,29,
Hackney 009C,35,,22,,23,,19,
Hackney 009D,47,,48,,56,,61,
Hackney 009E,53,,42,,61,,46,
Hackney 010A,119,,113,,110,,104,
Hackney 010B,134,,126,,138,,140,
Hackney 010D,75,,90,,90,,113,
Hackney 010E,111,,131,,132,,148,
Hackney 010F,64,,61,,61,,54,
Hackney 010G,62,,41,,60,,46,
Hackney 011A,86,,88,,92,,73,
Hackney 011B,60,,49,,53,,47,
Hackney 011C,51,,56,,54,,49,
Hackney 011D,51,,56,,62,,63,
Hackney 011E,44,,42,,38,,37,
Hackney 012A,32,,21,,25,,32,
Hackney 012B,44,,60,,67,,63,
Hackney 012C,39,,39,,43,,50,
Hackney 012D,39,,19,,33,,46,
Hackney 013A,172,,195,,179,,170,
Hackney 013B,100,,91,,127,,131,
Hackney 013C,112,,109,,109,,103,
Hackney 013D,106,,125,,139,,139,
Hackney 014A,76,,100,,98,,110,
Hackney 014B,133,,110,,104,,126,
Hackney 014C,64,,56,,71,,79,
Hackney 014D,85,,82,,92,,97,
Hackney 014E,58,,63,,78,,77,
Hackney 014F,9,,19,,15,,23,
Hackney 015A,42,,34,,58,,50,
Hackney 015B,38,,42,,52,,62,
Hackney 015C,54,,62,,80,,75,
Hackney 015D,101,,103,,102,,109,
Hackney 016A,135,,143,,134,,168,
Hackney 016B,174,,167,,169,,177,
Hackney 016C,136,,121,,132,,129,
Hackney 016D,124,,139,,155,,192,
Hackney 016E,104,,107,,98,,97,
Hackney 016F,91,,90,,102,,91,
Hackney 017A,135,,135,,141,,150,
Hackney 017B,49,,47,,66,,50,
Hackney 017C,76,,73,,74,,85,
